Origin,Destination,Hotel Property,Hotel Nights Stay,Hotel Check In Date,Hotel Check Out Date,Expedia Package Price/Person,JetBlue Package Price/Person,% Savings (Compared to Expedia),Month,Advance_weeks,count
JFK,BGI,Accra Beach Resort,3,10/31/15,11/3/15,764.99,720.33,5.84%,10,within 1 wk,1
JFK,BGI,Accra Beach Resort,3,11/4/15,11/7/15,731.94,704.79,3.71%,11,within 1 wk,1
JFK,SDQ,Acuarium Suite Resort,7,11/22/15,11/29/15,700.99,601.89,14.14%,11,2-4 wks,1
JFK,SDQ,Acuarium Suite Resort,3,11/22/15,11/25/15,407.08,366.58,9.95%,11,2-4 wks,1
FLL,CUN,Adhara Hacienda Cancun,7,11/4/15,11/11/15,501.92,477.6,4.85%,11,within 1 wk,1
FLL,CUN,Adhara Hacienda Cancun,3,11/20/15,11/23/15,593.89,569.92,4.04%,11,2-4 wks,1
FLL,CUN,Adhara Hacienda Cancun,7,11/11/15,11/18/15,538.43,517.6,3.87%,11,1-2 wks,1
FLL,CUN,Adhara Hacienda Cancun,3,11/25/15,11/28/15,800.89,773.02,3.48%,11,2-4 wks,1
JFK,CUN,Adhara Hacienda Cancun,7,11/21/15,11/28/15,1262.71,1220.71,3.33%,11,2-4 wks,1
FLL,CUN,Adhara Hacienda Cancun,7,11/8/15,11/15/15,691.86,670.3,3.12%,11,1-2 wks,1
FLL,CUN,Adhara Hacienda Cancun,7,11/21/15,11/28/15,914.39,886.7,3.03%,11,2-4 wks,1
FLL,CUN,Adhara Hacienda Cancun,3,11/21/15,11/24/15,444.08,430.92,2.96%,11,2-4 wks,1
JFK,CUN,Adhara Hacienda Cancun,3,11/13/15,11/16/15,615.89,599.28,2.70%,11,2-4 wks,1
FLL,CUN,Adhara Hacienda Cancun,3,11/11/15,11/14/15,467.34,455.92,2.44%,11,1-2 wks,1
FLL,CUN,Adhara Hacienda Cancun,7,11/25/15,12/2/15,597.45,584.1,2.23%,11,2-4 wks,1
FLL,CUN,Adhara Hacienda Cancun,3,11/6/15,11/9/15,418.53,410.02,2.03%,11,1-2 wks,1
FLL,CUN,Adhara Hacienda Cancun,3,11/4/15,11/7/15,400.88,393.02,1.96%,11,within 1 wk,1
FLL,CUN,Adhara Hacienda Cancun,3,11/8/15,11/11/15,388.42,380.92,1.93%,11,1-2 wks,1
FLL,CUN,Adhara Hacienda Cancun,7,11/14/15,11/21/15,637.39,626.3,1.74%,11,2-4 wks,1
FLL,CUN,Adhara Hacienda Cancun,7,11/22/15,11/29/15,804.49,792.7,1.47%,11,2-4 wks,1
FLL,CUN,Adhara Hacienda Cancun,7,11/6/15,11/13/15,501.92,494.6,1.46%,11,1-2 wks,1
FLL,CUN,Adhara Hacienda Cancun,3,11/7/15,11/10/15,353.89,348.92,1.40%,11,1-2 wks,1
JFK,CUN,Adhara Hacienda Cancun,7,11/22/15,11/29/15,1312.89,1297.41,1.18%,11,2-4 wks,1
FLL,CUN,Adhara Hacienda Cancun,3,11/22/15,11/25/15,340.89,336.92,1.16%,11,2-4 wks,1
FLL,CUN,Adhara Hacienda Cancun,7,11/13/15,11/20/15,497.39,491.7,1.14%,11,2-4 wks,1
FLL,CUN,Adhara Hacienda Cancun,7,11/7/15,11/14/15,519.67,514.6,0.98%,11,1-2 wks,1
JFK,CUN,Adhara Hacienda Cancun,3,11/20/15,11/23/15,529.89,524.78,0.96%,11,2-4 wks,1
FLL,CUN,Adhara Hacienda Cancun,3,11/15/15,11/18/15,329.89,326.92,0.90%,11,2-4 wks,1
FLL,CUN,Adhara Hacienda Cancun,7,11/15/15,11/22/15,484.27,480.1,0.86%,11,2-4 wks,1
FLL,CUN,Adhara Hacienda Cancun,7,11/18/15,11/25/15,454.39,450.6,0.83%,11,2-4 wks,1
FLL,CUN,Adhara Hacienda Cancun,3,11/14/15,11/17/15,339.64,336.92,0.80%,11,2-4 wks,1
BOS,JFK,Affinia 50,3,10/21/15,10/24/15,1088.36,988.42,9.18%,10,within 1 wk,1
BOS,JFK,Affinia 50,3,10/24/15,10/27/15,840.28,773.55,7.94%,10,within 1 wk,1
BOS,JFK,Affinia Manhattan,3,10/24/15,10/27/15,806.79,684.29,15.18%,10,within 1 wk,1
BOS,JFK,Affinia Manhattan,3,10/23/15,10/26/15,752.72,689.36,8.42%,10,within 1 wk,1
BOS,JFK,Affinia Manhattan,3,10/21/15,10/24/15,950.37,874.33,8.00%,10,within 1 wk,1
BOS,JFK,Affinia Manhattan,3,10/30/15,11/2/15,735.12,706.76,3.86%,10,within 1 wk,1
BOS,JFK,Affinia Shelburne,3,10/24/15,10/27/15,811.02,680.42,16.10%,10,within 1 wk,1
BOS,JFK,Affinia Shelburne,3,10/21/15,10/24/15,992.26,884.83,10.83%,10,within 1 wk,1
BOS,JFK,Affinia Shelburne,3,10/28/15,10/31/15,841.22,758.69,9.81%,10,within 1 wk,1
BOS,JFK,Affinia Shelburne,3,10/23/15,10/26/15,773.02,699.82,9.47%,10,within 1 wk,1
BOS,JFK,Affinia Shelburne,3,10/25/15,10/28/15,727.77,683.27,6.12%,10,within 1 wk,1
BOS,JFK,Affinia Shelburne,7,10/23/15,10/30/15,1492.64,1409.64,5.56%,10,within 1 wk,1
BOS,JFK,Affinia Shelburne,3,10/31/15,11/3/15,755.62,748.32,0.97%,10,within 1 wk,1
BOS,JFK,Affinia Shelburne,7,10/24/15,10/31/15,1387.22,1380.96,0.45%,10,within 1 wk,1
BOS,JFK,Affinia Shelburne,7,10/25/15,11/1/15,1415.24,1412.09,0.22%,10,within 1 wk,1
JFK,POP,Agualina Kite Resort,3,10/23/15,10/26/15,724.89,620.83,14.35%,10,within 1 wk,1
JFK,POP,Agualina Kite Resort,3,10/25/15,10/28/15,638.01,573.83,10.06%,10,within 1 wk,1
JFK,POP,Agualina Kite Resort,3,10/24/15,10/27/15,690.23,620.83,10.05%,10,within 1 wk,1
JFK,POP,Agualina Kite Resort,3,11/14/15,11/17/15,620.17,576.3,7.07%,11,2-4 wks,1
JFK,POP,Agualina Kite Resort,3,11/1/15,11/4/15,595.27,558.83,6.12%,11,within 1 wk,1
JFK,POP,Agualina Kite Resort,3,11/25/15,11/28/15,704.77,668.3,5.18%,11,2-4 wks,1
JFK,POP,Agualina Kite Resort,7,10/25/15,11/1/15,791.26,761.47,3.76%,10,within 1 wk,1
JFK,POP,Agualina Kite Resort,3,11/13/15,11/16/15,1206.18,1161.3,3.72%,11,2-4 wks,1
JFK,POP,Agualina Kite Resort,3,10/30/15,11/2/15,591.02,573.83,2.91%,10,within 1 wk,1
JFK,POP,Agualina Kite Resort,3,10/31/15,11/3/15,591.01,573.83,2.91%,10,within 1 wk,1
JFK,POP,Agualina Kite Resort,7,10/23/15,10/30/15,794.67,774.47,2.54%,10,within 1 wk,1
JFK,POP,Agualina Kite Resort,7,11/14/15,11/21/15,723.27,709.03,1.97%,11,2-4 wks,1
JFK,POP,Agualina Kite Resort,3,10/28/15,10/31/15,585.19,573.83,1.94%,10,within 1 wk,1
JFK,POP,Agualina Kite Resort,3,11/4/15,11/7/15,553.94,543.83,1.82%,11,within 1 wk,1
JFK,POP,Agualina Kite Resort,7,11/21/15,11/28/15,829.02,820.03,1.09%,11,2-4 wks,1
JFK,POP,Agualina Kite Resort,3,11/11/15,11/14/15,675.54,668.3,1.07%,11,1-2 wks,1
JFK,POP,Agualina Kite Resort,3,11/6/15,11/9/15,630.21,626.3,0.62%,11,1-2 wks,1
JFK,POP,Agualina Kite Resort,3,11/21/15,11/24/15,630.12,626.3,0.61%,11,2-4 wks,1
JFK,POP,Agualina Kite Resort,7,11/4/15,11/11/15,713.92,712.47,0.20%,11,within 1 wk,1
JFK,LAX,Airtel Plaza Hotel and Conference Center,3,10/24/15,10/27/15,795.41,549.42,30.93%,10,within 1 wk,1
JFK,LAX,Airtel Plaza Hotel and Conference Center,3,10/25/15,10/28/15,759,549.42,27.61%,10,within 1 wk,1
JFK,LAX,Airtel Plaza Hotel and Conference Center,7,10/25/15,11/1/15,1142.28,860.75,24.65%,10,within 1 wk,1
JFK,LAX,Airtel Plaza Hotel and Conference Center,3,10/28/15,10/31/15,701.89,543.61,22.55%,10,within 1 wk,1
JFK,LAX,Airtel Plaza Hotel and Conference Center,3,11/1/15,11/4/15,673.71,522.48,22.45%,11,within 1 wk,1
JFK,LAX,Airtel Plaza Hotel and Conference Center,7,10/24/15,10/31/15,1114.26,866.56,22.23%,10,within 1 wk,1
JFK,LAX,Airtel Plaza Hotel and Conference Center,3,10/30/15,11/2/15,647.83,512.71,20.86%,10,within 1 wk,1
JFK,LAX,Airtel Plaza Hotel and Conference Center,3,10/23/15,10/26/15,924.5,760.42,17.75%,10,within 1 wk,1
JFK,LAX,Airtel Plaza Hotel and Conference Center,3,10/31/15,11/3/15,599.01,517.59,13.59%,10,within 1 wk,1
JFK,LAX,Airtel Plaza Hotel and Conference Center,7,10/23/15,10/30/15,1163.51,1083.37,6.89%,10,within 1 wk,1
JFK,LAX,Airtel Plaza Hotel and Conference Center,7,10/30/15,11/6/15,891.65,830.3,6.88%,10,within 1 wk,1
JFK,LAX,Airtel Plaza Hotel and Conference Center,7,10/28/15,11/4/15,862.68,835.13,3.19%,10,within 1 wk,1
JFK,LAX,Airtel Plaza Hotel and Conference Center,3,11/21/15,11/24/15,700.62,681.57,2.72%,11,2-4 wks,1
JFK,LAX,Airtel Plaza Hotel and Conference Center,7,10/31/15,11/7/15,850.92,829.47,2.52%,10,within 1 wk,1
JFK,LAX,Airtel Plaza Hotel and Conference Center,3,11/20/15,11/23/15,590.95,576.45,2.45%,11,2-4 wks,1
JFK,LAX,Airtel Plaza Hotel and Conference Center,3,11/13/15,11/16/15,494.47,488.13,1.28%,11,2-4 wks,1
JFK,LAX,Airtel Plaza Hotel and Conference Center,3,11/25/15,11/28/15,815.88,807.22,1.06%,11,2-4 wks,1
JFK,SXM,Alamanda Resort,3,10/23/15,10/26/15,808.61,673.66,16.69%,10,within 1 wk,1
JFK,SXM,Alamanda Resort,3,10/31/15,11/3/15,795.86,690.67,13.22%,10,within 1 wk,1
JFK,SXM,Alamanda Resort,3,10/25/15,10/28/15,787.78,704.49,10.57%,10,within 1 wk,1
JFK,SXM,Alamanda Resort,3,10/30/15,11/2/15,756.05,678.44,10.27%,10,within 1 wk,1
JFK,SXM,Alamanda Resort,7,10/31/15,11/7/15,1117.52,1004.47,10.12%,10,within 1 wk,1
JFK,SXM,Alamanda Resort,7,10/23/15,10/30/15,1023.19,922.59,9.83%,10,within 1 wk,1
JFK,SXM,Alamanda Resort,7,10/30/15,11/6/15,1127.69,1017.76,9.75%,10,within 1 wk,1
JFK,SXM,Alamanda Resort,7,10/26/15,11/2/15,1060.25,980.44,7.53%,10,within 1 wk,1
JFK,SXM,Alamanda Resort,3,10/26/15,10/29/15,731.94,694.35,5.14%,10,within 1 wk,1
JFK,SXM,Alamanda Resort,3,10/24/15,10/27/15,808.61,783.49,3.11%,10,within 1 wk,1
JFK,SXM,Alamanda Resort,7,10/25/15,11/1/15,1061.22,1058.92,0.22%,10,within 1 wk,1
JFK,SXM,"Alegria, an Ascend Hotel Collection Member",3,10/23/15,10/26/15,771.71,649.89,15.79%,10,within 1 wk,1
JFK,SXM,"Alegria, an Ascend Hotel Collection Member",3,10/25/15,10/28/15,790.87,727.38,8.03%,10,within 1 wk,1
JFK,SXM,"Alegria, an Ascend Hotel Collection Member",3,10/31/15,11/3/15,693.53,645.05,6.99%,10,within 1 wk,1
JFK,SXM,"Alegria, an Ascend Hotel Collection Member",7,10/23/15,10/30/15,1039.3,988.78,4.86%,10,within 1 wk,1
JFK,SXM,"Alegria, an Ascend Hotel Collection Member",3,10/26/15,10/29/15,748.36,733.55,1.98%,10,within 1 wk,1
JFK,SXM,"Alegria, an Ascend Hotel Collection Member",3,10/30/15,11/2/15,680.18,668.22,1.76%,10,within 1 wk,1
JFK,SXM,"Alegria, an Ascend Hotel Collection Member",3,10/24/15,10/27/15,771.71,760.89,1.40%,10,within 1 wk,1
JFK,LAS,Alexis Park All Suite Resort,3,11/7/15,11/10/15,583.03,391.22,32.90%,11,1-2 wks,1
JFK,LAS,Alexis Park All Suite Resort,3,11/8/15,11/11/15,529.91,376.64,28.92%,11,1-2 wks,1
JFK,LAS,Alexis Park All Suite Resort,3,11/1/15,11/4/15,665.64,505.49,24.06%,11,within 1 wk,1
JFK,LAS,Alexis Park All Suite Resort,3,11/15/15,11/18/15,414.25,331.7,19.93%,11,2-4 wks,1
SFO,LAS,Alexis Park All Suite Resort,3,10/31/15,11/3/15,320.17,265.53,17.07%,10,within 1 wk,1
BOS,LAS,Alexis Park All Suite Resort,3,10/28/15,10/31/15,824.52,690.76,16.22%,10,within 1 wk,1
SFO,LAS,Alexis Park All Suite Resort,3,10/30/15,11/2/15,364.02,318.39,12.54%,10,within 1 wk,1
JFK,LAS,Alexis Park All Suite Resort,3,10/31/15,11/3/15,648.49,567.59,12.48%,10,within 1 wk,1
FLL,LAS,Alexis Park All Suite Resort,3,10/31/15,11/3/15,513.87,460.64,10.36%,10,within 1 wk,1
FLL,LAS,Alexis Park All Suite Resort,3,10/30/15,11/2/15,538.51,488.4,9.30%,10,within 1 wk,1
JFK,LAS,Alexis Park All Suite Resort,3,10/28/15,10/31/15,740.53,672.76,9.15%,10,within 1 wk,1
FLL,LAS,Alexis Park All Suite Resort,3,11/11/15,11/14/15,552.88,504.23,8.80%,11,1-2 wks,1
JFK,LAS,Alexis Park All Suite Resort,3,11/21/15,11/24/15,471.91,439.26,6.92%,11,2-4 wks,1
JFK,LAS,Alexis Park All Suite Resort,7,11/14/15,11/21/15,865.97,812.46,6.18%,11,2-4 wks,1
FLL,LAS,Alexis Park All Suite Resort,3,11/13/15,11/16/15,745.65,705.11,5.44%,11,2-4 wks,1
JFK,LAS,Alexis Park All Suite Resort,3,11/14/15,11/17/15,499.9,474.32,5.12%,11,2-4 wks,1
BOS,LAS,Alexis Park All Suite Resort,3,11/6/15,11/9/15,752.07,715.46,4.87%,11,1-2 wks,1
JFK,LAS,Alexis Park All Suite Resort,7,11/6/15,11/13/15,906.53,870.57,3.97%,11,1-2 wks,1
LGB,LAS,Alexis Park All Suite Resort,3,11/13/15,11/16/15,450.93,436.01,3.31%,11,2-4 wks,1
LGB,LAS,Alexis Park All Suite Resort,3,10/28/15,10/31/15,281.27,272.03,3.29%,10,within 1 wk,1
BOS,LAS,Alexis Park All Suite Resort,3,11/7/15,11/10/15,517.44,501.9,3.00%,11,1-2 wks,1
JFK,LAS,Alexis Park All Suite Resort,3,11/18/15,11/21/15,535.72,520.22,2.89%,11,2-4 wks,1
BOS,LAS,Alexis Park All Suite Resort,3,11/15/15,11/18/15,500.25,488.05,2.44%,11,2-4 wks,1
LGB,LAS,Alexis Park All Suite Resort,3,11/7/15,11/10/15,293.54,288.17,1.83%,11,1-2 wks,1
JFK,LAS,Alexis Park All Suite Resort,3,11/25/15,11/28/15,792.01,778.22,1.74%,11,2-4 wks,1
FLL,LAS,Alexis Park All Suite Resort,3,11/20/15,11/23/15,549.23,541.53,1.40%,11,2-4 wks,1
SFO,LAS,Alexis Park All Suite Resort,3,11/6/15,11/9/15,536.8,531.05,1.07%,11,1-2 wks,1
JFK,LAS,Alexis Park All Suite Resort,7,11/8/15,11/15/15,941.63,932.16,1.01%,11,1-2 wks,1
SFO,LAS,Alexis Park All Suite Resort,3,11/7/15,11/10/15,285.25,282.64,0.92%,11,1-2 wks,1
JFK,LAS,Alexis Park All Suite Resort,7,11/21/15,11/28/15,864.6,857.33,0.84%,11,2-4 wks,1
SFO,LAS,Alexis Park All Suite Resort,3,11/1/15,11/4/15,280.11,278.29,0.65%,11,within 1 wk,1
LGB,LAS,Alexis Park All Suite Resort,3,11/25/15,11/28/15,429.55,427,0.59%,11,2-4 wks,1
BOS,LAS,Alexis Park All Suite Resort,3,11/1/15,11/4/15,671.19,668.37,0.42%,11,within 1 wk,1
JFK,LAS,Alexis Park All Suite Resort,3,11/20/15,11/23/15,575.98,574.64,0.23%,11,2-4 wks,1
FLL,LAS,Alexis Park All Suite Resort,3,10/25/15,10/28/15,582.79,581.64,0.20%,10,within 1 wk,1
FLL,LAS,Alexis Park All Suite Resort,3,11/25/15,11/28/15,667.91,667.43,0.07%,11,2-4 wks,1
JFK,LAS,Aliante Casino and Hotel,3,11/8/15,11/11/15,506.52,350.23,30.86%,11,1-2 wks,1
FLL,LAS,Aliante Casino and Hotel,3,11/20/15,11/23/15,540.06,531.06,1.67%,11,2-4 wks,1
FLL,LAS,Aliante Casino and Hotel,3,11/18/15,11/21/15,543.87,543.4,0.09%,11,2-4 wks,1
FLL,CUN,All Ritmo Cancun Resort and Waterpark,3,10/25/15,10/28/15,536.16,497.74,7.16%,10,within 1 wk,1
JFK,CUN,All Ritmo Cancun Resort and Waterpark,3,10/31/15,11/3/15,654.14,618.57,5.44%,10,within 1 wk,1
FLL,CUN,All Ritmo Cancun Resort and Waterpark,3,11/1/15,11/4/15,517.08,497.02,3.88%,11,within 1 wk,1
FLL,CUN,All Ritmo Cancun Resort and Waterpark,3,10/28/15,10/31/15,518.16,499.34,3.63%,10,within 1 wk,1
FLL,CUN,All Ritmo Cancun Resort and Waterpark,3,10/24/15,10/27/15,527.21,513.21,2.66%,10,within 1 wk,1
FLL,CUN,All Ritmo Cancun Resort and Waterpark,3,11/20/15,11/23/15,740.2,726.02,1.92%,11,2-4 wks,1
FLL,CUN,All Ritmo Cancun Resort and Waterpark,3,11/25/15,11/28/15,947.2,929.12,1.91%,11,2-4 wks,1
FLL,CUN,All Ritmo Cancun Resort and Waterpark,7,10/25/15,11/1/15,791.17,781.93,1.17%,10,within 1 wk,1
FLL,CUN,All Ritmo Cancun Resort and Waterpark,3,11/21/15,11/24/15,590.39,587.02,0.57%,11,2-4 wks,1
FLL,CUN,All Ritmo Cancun Resort and Waterpark,7,11/4/15,11/11/15,843.31,839.46,0.46%,11,within 1 wk,1
FLL,CUN,All Ritmo Cancun Resort and Waterpark,3,10/30/15,11/2/15,491.99,490.68,0.27%,10,within 1 wk,1
FLL,CUN,All Ritmo Cancun Resort and Waterpark,7,11/25/15,12/2/15,992.84,991.51,0.13%,11,2-4 wks,1
FLL,CUN,All Ritmo Cancun Resort and Waterpark,3,10/31/15,11/3/15,504.53,503.93,0.12%,10,within 1 wk,1
FLL,CUN,All Ritmo Cancun Resort and Waterpark,7,11/8/15,11/15/15,1033.25,1032.16,0.11%,11,1-2 wks,1
JFK,MCO,Allure Resort Orlando,3,10/25/15,10/28/15,627.01,401.27,36.00%,10,within 1 wk,1
JFK,MCO,Allure Resort Orlando,7,11/18/15,11/25/15,540.67,402.42,25.57%,11,2-4 wks,1
JFK,MCO,Allure Resort Orlando,7,11/15/15,11/22/15,620.82,476.02,23.32%,11,2-4 wks,1
JFK,MCO,Allure Resort Orlando,7,11/20/15,11/27/15,680.58,536.57,21.16%,11,2-4 wks,1
JFK,MCO,Allure Resort Orlando,3,11/18/15,11/21/15,396.08,322.08,18.68%,11,2-4 wks,1
JFK,MCO,Allure Resort Orlando,7,11/14/15,11/21/15,546.11,444.74,18.56%,11,2-4 wks,1
JFK,MCO,Allure Resort Orlando,7,11/11/15,11/18/15,506.8,425.14,16.11%,11,1-2 wks,1
JFK,MCO,Allure Resort Orlando,7,10/28/15,11/4/15,626.8,531.24,15.25%,10,within 1 wk,1
JFK,MCO,Allure Resort Orlando,3,11/8/15,11/11/15,383.64,325.2,15.23%,11,1-2 wks,1
JFK,MCO,Allure Resort Orlando,3,10/28/15,10/31/15,489.49,414.97,15.23%,10,within 1 wk,1
JFK,MCO,Allure Resort Orlando,7,11/21/15,11/28/15,723.92,618.52,14.56%,11,2-4 wks,1
